Nama Mobil,Harga,Tahun,Usia,Bahan Bakar,Transmisi,Kapasitas Mesin,harga_angka
Innova Zenix Q Modelista At Tss Hybrid Ev (2022),Rp 458.000.000,2022,3,Hybrid,Matic,2000 cc,458000000
Toyota Fortuner 2.4vrzatdsl (2021),Rp 458.500.000,2021,4,Diesel,Matic,2500 cc,458500000
Toyota Yaris G At  Orange (2018),Rp 157.000.000,2018,7,Bensin,Matic,1500 cc,157000000
Honda Brio Rs (2020),Rp 155.000.000,2020,5,Bensin,Matic,1200 cc,155000000
Daihatsu Terios (2017),Rp 159.000.000,2017,8,Bensin,Matic,1500 cc,159000000
Toyota Kijang Innova (2022),Rp 465.000.000,2022,3,Bensin,Matic,2400 cc,465000000
Toyota Kijang Innova G Mpv (2020),Rp 262.000.000,2020,5,Bensin,Matic,2000 cc,262000000
Toyota Kijang Inova G Luxury Matic (2019),Rp 310.000.000,2019,6,Bensin,Matic,2500 cc,310000000
Honda Brio 12 E At (2023),Rp 160.000.000,2023,2,Bensin,Matic,1200 cc,160000000
Honda Jazz Rs (2017),Rp 189.000.000,2017,8,Bensin,Matic,1500 cc,189000000
Toyota Kijang Innova G Mpv (2016),Rp 220.000.000,2016,9,Bensin,Matic,2000 cc,220000000
Toyota Innova Zenix Q Tss Modelista (2023),Rp 535.000.000,2023,2,Hybrid,Matic,1500 cc,535000000
Toyota All New Veloz Q Cvt (2022),Rp 245.000.000,2022,3,Bensin,Matic,1500 cc,245000000
Toyota Camry Hybrid At (2015),Rp 165.000.000,2015,10,Hybrid,Matic,2500 cc,165000000
Bmw 330i M Sport Sedan (2022),Rp 765.000.000,2022,3,Bensin,Matic,2000 cc,765000000
Toyota Avanza G At (2015),Rp 118.000.000,2015,10,Bensin,Matic,1300 cc,118000000
Honda Mobilio Rs At  Hitam (2021),Rp 187.000.000,2021,4,Bensin,Matic,1500 cc,187000000
Brio E Cvt  Matic (2017),Rp 125.000.000,2017,8,Bensin,Matic,1500 cc,125000000
Daihatsu Sigra D Lcgc Minor Change 1000 Mt (2021),Rp 116.000.000,2021,4,Bensin,Manual,1000 cc,116000000
Honda City Hatchback Rs At  Putih (2022),Rp 229.000.000,2022,3,Bensin,Matic,1500 cc,229000000
Honda Crv Turbo Prestige At (2018),Rp 295.000.000,2018,7,Bensin,Matic,1500 cc,295000000
Mitsubishi Mirage Glx (2016),Rp 85.000.000,2016,9,Bensin,Manual,1200 cc,85000000
Toyota Avanza Veloz Q Cvt At (2023),Rp 239.000.000,2023,2,Bensin,Matic,1500 cc,239000000
Honda Crv Turbo Prestige (2017),Rp 310.000.000,2017,8,Bensin,Matic,1500 cc,310000000
Honda Brio E M/t (2022),Rp 123.000.000,2022,3,Bensin,Matic,1200 cc,123000000
Toyota Kijang Innova Zenix (2022),Rp 540.000.000,2022,3,Hybrid,Matic,2000 cc,540000000
Toyota Kijang Innova Venturer (2019),Rp 295.000.000,2019,6,Bensin,Matic,2000 cc,295000000
Toyota Kijang Innova Zenix V Cvt (2024),Rp 399.000.000,2024,1,Hybrid,Matic,2000 cc,399000000
Toyota Alphard X Mpv (2018),Rp 555.000.000,2018,7,Bensin,Matic,2500 cc,555000000
Toyota Avanza Veloz Q Bensin At (2022),Rp 225.000.000,2022,3,Bensin,Matic,1500 cc,225000000
