pertanyaan,ground_truth,prediksi,precision,recall,f1
mobil tahun 2024+ yang menggunakan diesel,ford everest 4x2 at xlt (2024);mitshubishi pajero sport dakar ultimate (2024);toyota fortuner gr sport 4x4 (2024);toyota fortuner vrz (2024);toyota fortuner vrz (2025);toyota fortuner vrz diesel (2024);toyota innova g at diesel (2024);toyota kijang innova g mt (2024);toyota kijang innova g solar mt (2024);toyota kijang innova reborn g diesel (2024),toyota fortuner vrz (2025);toyota kijang innova g mt (2024);toyota kijang innova reborn g diesel (2024);toyota innova g at diesel (2024);toyota kijang innova g solar mt (2024),1.0,0.5,0.6666666666666666
mobil hybrid tahun 2022+,innova zenix g at (2024);innova zenix q modelista at tss hybrid ev (2022);innova zenix v hybrid modelista (2023);land rover defender 110 75th limited edition (2023);suzuki ertiga gx hybrid (2023);suzuki ertiga gx hybrid at (2022);suzuki grand vitara gx hybrid (2023);suzuki grand vitara gx hybrid (2025);suzuki xl7 alpha hybrid (2024);suzuki xl7 alpha hybrid (2025);toyota alphard hev modellista mpv (2024);toyota alphard hev mpv (2023);toyota innova reborn zenix hb v cvt (2023);toyota innova v zenix bensin at (2022);toyota innova zenix (2023);toyota innova zenix 2 0 at (2023);toyota innova zenix g at (2023);toyota innova zenix g hv hybrid at (2024);toyota innova zenix hybrid tss modellista rse (2022);toyota innova zenix q hybrid at (2024);toyota innova zenix q hybrid modelista (2022);toyota innova zenix q hybrid modelista panoramic at (2023);toyota innova zenix q tss modelista (2023);toyota innova zenix v (2023);toyota innova zenix v at hybrid modellista hitam (2022);toyota innova zenix v automatic putih (2023);toyota innova zenix v bensin (2023);toyota innova zenix v hybrid modelista (2023);toyota kijang innova zenix (2022);toyota kijang innova zenix (2023);toyota kijang innova zenix (2024);toyota kijang innova zenix automatic (2022);toyota kijang innova zenix g at (2024);toyota kijang innova zenix g cvt bensin at (2024);toyota kijang innova zenix g hv hybrid cvt at (2023);toyota kijang innova zenix g hybrid at (2023);toyota kijang innova zenix hitam (2023);toyota kijang innova zenix hv tss modellista (2023);toyota kijang innova zenix hv tss modellista wagon (2023);toyota kijang innova zenix q hv cvt tss modellista hybrid (2024);toyota kijang innova zenix q hv cvt tss modellista hybrid at (2022);toyota kijang innova zenix q hv cvt tss modellista hybrid at (2023);toyota kijang innova zenix q hv tss modellista wagon (2023);toyota kijang innova zenix q hybrid cvt (2024);toyota kijang innova zenix q hybrid cvt modelista tss at (2023);toyota kijang innova zenix silver (2023);toyota kijang innova zenix tss modellista wagon km 1 rbuan (2022);toyota kijang innova zenix v (2022);toyota kijang innova zenix v (2023);toyota kijang innova zenix v cvt (2022);toyota kijang innova zenix v cvt (2024);toyota kijang innova zenix v cvt bensin at (2022);toyota kijang innova zenix v cvt bensin at (2023);toyota kijang innova zenix v hv modellista wagon km 20 rbuan (2023);toyota kijang innova zenix v premium color mpv (2023);toyota yaris cross gr hybrid (2023);toyota zenix v at (2022),suzuki xl7 alpha hybrid (2025);suzuki grand vitara gx hybrid (2025);suzuki xl7 alpha hybrid (2024);innova zenix g at (2024);toyota kijang innova zenix g at (2024),1.0,0.08771929824561403,0.16129032258064516
mobil hybrid tahun 2021+ dan usia di bawah 4 tahun,innova zenix g at (2024);innova zenix q modelista at tss hybrid ev (2022);innova zenix v hybrid modelista (2023);land rover defender 110 75th limited edition (2023);nissan kicks e power hybrid (2021);suzuki ertiga gx hybrid (2023);suzuki ertiga gx hybrid at (2022);suzuki grand vitara gx hybrid (2023);suzuki grand vitara gx hybrid (2025);suzuki xl7 alpha hybrid (2024);suzuki xl7 alpha hybrid (2025);toyota alphard hev modellista mpv (2024);toyota alphard hev mpv (2023);toyota corolla cross hybrid (2021);toyota innova reborn zenix hb v cvt (2023);toyota innova v zenix bensin at (2022);toyota innova zenix (2023);toyota innova zenix 2 0 at (2023);toyota innova zenix g at (2023);toyota innova zenix g hv hybrid at (2024);toyota innova zenix hybrid tss modellista rse (2022);toyota innova zenix q hybrid at (2024);toyota innova zenix q hybrid modelista (2022);toyota innova zenix q hybrid modelista panoramic at (2023);toyota innova zenix q tss modelista (2023);toyota innova zenix v (2023);toyota innova zenix v at hybrid modellista hitam (2022);toyota innova zenix v automatic putih (2023);toyota innova zenix v bensin (2023);toyota innova zenix v hybrid modelista (2023);toyota kijang innova zenix (2022);toyota kijang innova zenix (2023);toyota kijang innova zenix (2024);toyota kijang innova zenix automatic (2022);toyota kijang innova zenix g at (2024);toyota kijang innova zenix g cvt bensin at (2024);toyota kijang innova zenix g hv hybrid cvt at (2023);toyota kijang innova zenix g hybrid at (2023);toyota kijang innova zenix hitam (2023);toyota kijang innova zenix hv tss modellista (2023);toyota kijang innova zenix hv tss modellista wagon (2023);toyota kijang innova zenix q hv cvt tss modellista hybrid (2024);toyota kijang innova zenix q hv cvt tss modellista hybrid at (2022);toyota kijang innova zenix q hv cvt tss modellista hybrid at (2023);toyota kijang innova zenix q hv tss modellista wagon (2023);toyota kijang innova zenix q hybrid cvt (2024);toyota kijang innova zenix q hybrid cvt modelista tss at (2023);toyota kijang innova zenix silver (2023);toyota kijang innova zenix tss modellista wagon km 1 rbuan (2022);toyota kijang innova zenix v (2022);toyota kijang innova zenix v (2023);toyota kijang innova zenix v cvt (2022);toyota kijang innova zenix v cvt (2024);toyota kijang innova zenix v cvt bensin at (2022);toyota kijang innova zenix v cvt bensin at (2023);toyota kijang innova zenix v hv modellista wagon km 20 rbuan (2023);toyota kijang innova zenix v premium color mpv (2023);toyota yaris cross gr hybrid (2023);toyota zenix v at (2022),suzuki xl7 alpha hybrid (2025);suzuki grand vitara gx hybrid (2025);suzuki xl7 alpha hybrid (2024);innova zenix g at (2024);toyota kijang innova zenix g at (2024),1.0,0.0847457627118644,0.15625
mobil manual tahun 2022+ dengan harga di bawah rp 500.000.000,ayla x manual (2024);daihatsu all new xenia x mpv 1300 mt (2024);daihatsu alya tipe r (2023);daihatsu ayla x mt (2023);daihatsu sigra r mt putih (2023);daihatsu sigra type d (2023);daihatsu sigra type d minor change 1000 mt (2022);daihatsu sigra type d minor change 1000 mt (2023);daihatsu sigra type d minor change 1000 mt (2024);honda brio e mt (2022);honda brio e satya mt (2022);honda brio rs (2023);honda brio rs hatchback putih (2022);honda brio rs oranye (2023);mobil wuling formo s (2024);suzuki xl7 alpha mt (2023);toyota all new avanza g mt (2022);toyota all new avanza g mt (2024);toyota aln agya g mt (2023);toyota aln agya g mt (2024);toyota aln avanza g mt (2024);toyota avanza 15 g mt (2022);toyota avanza e bensin mt (2023);toyota avanza e mt (2022);toyota avanza g mpv putih (2022);toyota avanza g mt (2022);toyota avanza g mt (2023);toyota avanza veloz (2023);toyota calya g lcgc lux 1200 mt (2024);toyota calya g mt (2023);toyota calya g mt (2024);toyota calya g mt silver (2024);toyota calya type g lux 1200 mt (2022);toyota calya type g lux 1200 mt (2023);toyota innova reborn g mt (2022);toyota kijang innova g (2025);toyota new agya type g trd sportivo 1200 mt (2022);toyota new rush s gr sport 1500 mt (2022);toyota new rush s suv gr sport mt (2022);toyota new rush type s gr sport 1500 mt (2022);wuling confero std double blower mpv special edition 1500 mt (2022);wuling confero type std double blower special edition 1500 mt (2022);xenia x mt pajak panjang tahun depan kondisi mulus seperti baru (2023),mobil wuling formo s (2024);ayla x manual (2024);daihatsu sigra type d minor change 1000 mt (2024);toyota calya g mt  silver (2024);toyota calya g lcgc lux 1200 mt (2024),0.8,0.09302325581395349,0.16666666666666666
mobil tahun 2024+ yang menggunakan bensin,ayla x manual (2024);daihatsu all new xenia x mpv 1300 mt (2024);daihatsu sigra r at (2024);daihatsu sigra type d minor change 1000 mt (2024);honda brio rs cvt (2024);mazda cx3 sport at (2024);mazda mx 5 nd rf (2024);mobil wuling formo s (2024);toyota agya (2024);toyota all new avanza g mt (2024);toyota aln agya g mt (2024);toyota aln avanza g mt (2024);toyota alphard g mpv (2025);toyota avanza e cvt at (2024);toyota avanza e mpv (2025);toyota avanza g (2024);toyota avanza g at (2024);toyota avanza g mpv (2024);toyota avanza veloz q cvt (2024);toyota avanza veloz q cvt at (2024);toyota avanza veloz q non tss (2024);toyota calya g lcgc lux 1200 mt (2024);toyota calya g mt (2024);toyota calya g mt silver (2024);toyota gr corolla hatchback (2024);toyota kijang innova (2024);toyota kijang innova g (2025);toyota rush (2024);toyota veloz q tss premium color mpv (2025),toyota avanza e mpv (2025);toyota veloz q tss premium color mpv (2025);toyota kijang innova g (2025);toyota alphard g mpv (2025);mobil wuling formo s (2024),1.0,0.1724137931034483,0.29411764705882354
mobil manual tahun 2018+ dengan harga di bawah rp 300.000.000,6000km only agya 12 g mt (2018);ayla x manual (2024);brio e satya mt (2019);daihatsu all new terios type x 1500 mt (2021);daihatsu all new xenia x mpv 1300 mt (2024);daihatsu alya tipe r (2023);daihatsu ayla x mt (2023);daihatsu granmax minibus type d ff fh 1300 mt (2020);daihatsu granmax minibus type d ps mc 1500 mt (2020);daihatsu new ayla type d plus minor change 1000 mt (2018);daihatsu new ayla type x 1000 mt (2019);daihatsu sigra d lcgc minor change 1000 mt (2021);daihatsu sigra r dlx mt (2020);daihatsu sigra r mt (2021);daihatsu sigra r mt putih (2023);daihatsu sigra type d (2023);daihatsu sigra type d minor change 1000 mt (2022);daihatsu sigra type d minor change 1000 mt (2023);daihatsu sigra type d minor change 1000 mt (2024);daihatsu sirion mt (2018);daihatsu xenia (2021);daihatsu xenia r bensin at (2021);honda brio (2019);honda brio e mt (2022);honda brio e satya (2019);honda brio e satya mt (2022);honda brio e satya putih (2021);honda brio rs (2023);honda brio rs abu (2018);honda brio rs hatchback putih (2022);honda brio rs mt (2019);honda brio rs oranye (2023);honda brio satya abu (2019);honda brio satya e (2019);honda brio satya e (2021);honda brio satya e abu (2019);honda brio satya e merah (2020);honda brio satya e mt (2018);honda brio satya e mt (2021);honda brio satya e silver (2020);honda city rs hb mt (2021);honda jazz rs merah (2019);jazz rs manual (2019);mobil wuling formo s (2024);suzuki apv arena gl mt silver (2019);suzuki xl7 alpha mt (2023);toyota agya g mt (2021);toyota agya g trd mt (2019);toyota all new avanza g mt (2022);toyota all new avanza g mt (2024);toyota aln agya g mt (2023);toyota aln agya g mt (2024);toyota aln avanza g mt (2024);toyota avanza (2020);toyota avanza (2021);toyota avanza 13 g mt (2019);toyota avanza 15 g mt (2022);toyota avanza e bensin mt (2019);toyota avanza e bensin mt (2023);toyota avanza e mt (2021);toyota avanza e mt (2022);toyota avanza g mpv putih (2022);toyota avanza g mt (2019);toyota avanza g mt (2020);toyota avanza g mt (2021);toyota avanza g mt (2022);toyota avanza g mt (2023);toyota avanza new model g mt (2019);toyota avanza type g manual (2018);toyota avanza veloz (2023);toyota avanza veloz bensin mt (2020);toyota avanza veloz mt (2020);toyota calya g lcgc lux 1200 mt (2024);toyota calya g mt (2018);toyota calya g mt (2019);toyota calya g mt (2021);toyota calya g mt (2023);toyota calya g mt (2024);toyota calya g mt silver (2024);toyota calya type g lux 1200 mt (2022);toyota calya type g lux 1200 mt (2023);toyota grand new avanza g mt (2019);toyota grn new avanza g mt (2020);toyota hilux d cab e 4x4 solar mt (2018);toyota innova reborn g mt (2020);toyota kijang innova g (2019);toyota kijang innova g bensin mt (2020);toyota kijang innova g mpv (2019);toyota kijang innova v mt (2021);toyota new agya type g trd sportivo 1200 mt (2019);toyota new agya type g trd sportivo 1200 mt (2022);toyota new avanza g mpv facelift 1300 mt (2019);toyota new avanza type e facelift 1300 mt (2021);toyota new rush s gr sport 1500 mt (2022);toyota new rush s suv gr sport mt (2022);toyota new rush type s gr sport 1500 mt (2022);wuling confero std double blower mpv special edition 1500 mt (2022);wuling confero type std double blower special edition 1500 mt (2022);wuling cortez l lux mt (2018);xenia x mt pajak panjang tahun depan kondisi mulus seperti baru (2023),mobil wuling formo s (2024);ayla x manual (2024);daihatsu sigra type d minor change 1000 mt (2024);toyota calya g mt  silver (2024);toyota calya g lcgc lux 1200 mt (2024),0.8,0.04,0.07619047619047618
mobil usia di bawah 1 tahun dan harga di bawah rp 300.000.000,ayla x manual (2024);daihatsu all new xenia x mpv 1300 mt (2024);daihatsu sigra r at (2024);daihatsu sigra type d minor change 1000 mt (2024);honda brio rs cvt (2024);mazda 3 hb skyactiv at (2018);mitsubishi pajero sport dakar 4x2 at (2019);mobil wuling formo s (2024);suzuki grand vitara gx hybrid (2025);suzuki xl7 alpha hybrid (2024);suzuki xl7 alpha hybrid (2025);toyota agya (2024);toyota all new avanza g mt (2024);toyota aln agya g mt (2024);toyota aln avanza g mt (2024);toyota avanza e cvt at (2024);toyota avanza e mpv (2025);toyota avanza g (2024);toyota avanza g at (2024);toyota avanza g mpv (2024);toyota avanza veloz q cvt (2024);toyota avanza veloz q cvt at (2024);toyota avanza veloz q non tss (2024);toyota calya g lcgc lux 1200 mt (2024);toyota calya g mt (2024);toyota calya g mt silver (2024);toyota rush (2024);toyota veloz q tss premium color mpv (2025);wuling bingo ev (2024),suzuki xl7 alpha hybrid (2025);toyota avanza e mpv (2025);toyota veloz q tss premium color mpv (2025);suzuki grand vitara gx hybrid (2025);wuling bingo premium range (2025),0.8,0.13793103448275862,0.2352941176470588
mobil bensin dan transmisi manual dengan harga maksimal rp 150.000.000,6000km only agya 12 g mt (2018);ayla 12 r manual (2017);ayla x manual (2024);brio e manual (2015);brio e mt 2015 (2015);brio e satya mt (2019);daihatsu alya tipe r (2023);daihatsu ayla x mt (2015);daihatsu ayla x mt (2023);daihatsu granmax minibus type d ff fh 1300 mt (2020);daihatsu granmax minibus type d ps mc 1500 mt (2020);daihatsu great new xenia x mpv std 1300 mt (2016);daihatsu new ayla type d plus minor change 1000 mt (2018);daihatsu new ayla type x 1000 mt (2019);daihatsu sigra d lcgc minor change 1000 mt (2021);daihatsu sigra r dlx mt (2020);daihatsu sigra r mt (2021);daihatsu sigra r mt putih (2023);daihatsu sigra type d (2023);daihatsu sigra type d minor change 1000 mt (2022);daihatsu sigra type d minor change 1000 mt (2023);daihatsu sigra type d minor change 1000 mt (2024);daihatsu sirion mt (2018);daihatsu xenia r bensin at (2021);ertiga gx mt (2015);honda brio (2019);honda brio e mt (2015);honda brio e mt (2022);honda brio e satya (2019);honda brio e satya mt (2022);honda brio e satya putih (2021);honda brio rs (2017);honda brio rs abu (2018);honda brio rs merah (2016);honda brio rs mt (2016);honda brio rs mt (2019);honda brio rs mt merah (2017);honda brio satya abu (2019);honda brio satya e (2016);honda brio satya e (2019);honda brio satya e (2021);honda brio satya e abu (2019);honda brio satya e merah (2020);honda brio satya e mt (2015);honda brio satya e mt (2018);honda brio satya e mt (2021);honda brio satya e silver (2020);mitsubishi mirage glx (2016);mobil mitsubishi mirage (2016);mobil wuling formo s (2024);nissan grand livina sv manual (2017);suzuki apv arena gl mt silver (2019);suzuki ignis gx mt putih (2017);toyota agya g mt (2021);toyota agya g trd mt (2019);toyota avanza 13 g mt (2017);toyota avanza e bensin mt (2016);toyota avanza e bensin mt (2019);toyota avanza e manual (2015);toyota avanza e mt (2021);toyota avanza g mt (2015);toyota avanza g mt (2016);toyota avanza g mt (2017);toyota avanza g mt (2020);toyota avanza new model g mt (2019);toyota avanza type g manual (2018);toyota avanza veloz mt (2015);toyota calya e std mt (2016);toyota calya g mt (2017);toyota calya g mt (2018);toyota calya g mt (2019);toyota calya g mt (2021);toyota calya g mt silver (2024);toyota calya type g lux 1200 mt (2022);toyota innova 20 j bensin mt (2015);toyota new agya type g trd sportivo 1200 mt (2019);toyota new agya type g trd sportivo 1200 mt (2022);wuling confero std double blower mpv special edition 1500 mt (2022);wuling confero type std double blower special edition 1500 mt (2022);wuling cortez l lux mt (2018),toyota kijang innova g (2025);mobil wuling formo s (2024);ayla x manual (2024);daihatsu sigra type d minor change 1000 mt (2024);toyota calya g mt  silver (2024),0.6,0.0375,0.07058823529411765
mobil matic tahun 2020+ dengan harga di bawah rp 400.000.000,chery omoda 5 rz lux (2023);daihatsu all new xenia r cvt (2021);daihatsu all new xenia x mpv 1300 cvt (2023);daihatsu ayla (2022);daihatsu ayla r (2022);daihatsu rocky r at (2021);daihatsu sigra r at (2024);daihatsu sigra r at putih (2022);daihatsu sigra x (2021);daihatsu terios (2022);daihatsu terios r at silver (2021);daihatsu terios r at silver (2022);daihatsu terios x deluxe at hitam (2021);dijual cepat toyota calya g at (2020);honda accord turbo sensing (2020);honda all new brv type prestige sensing 1500 cvt (2023);honda all new hrv rs 15 turbo (2022);honda brio (2023);honda brio 12 e at (2023);honda brio e at (2022);honda brio e at (2023);honda brio e cvt (2020);honda brio e cvt (2021);honda brio e cvt at (2020);honda brio e cvt at (2022);honda brio e cvt kuning metic kediri (2022);t (2022);honda brio e satya (2022);honda brio e satya at (2022);honda brio e satya at abu (2022);honda brio e satya at merah (2022);honda brio e satya cvt at abu (2021);honda brio e satya hitam (2021);honda brio e satya merah (2023);honda brio e satya putih (2022);honda brio rs (2020);honda brio rs (2021);honda brio rs (2022);honda brio rs abu (2021);honda brio rs at (2021);honda brio rs bensin at (2022);honda brio rs cvt (2024);honda brio rs cvt abu abu (2021);honda brio rs cvt at (2020);honda brio rs cvt at (2023);honda brio rs cvt at kuning (2020);honda brio rs cvt urbanite edition at (2021);honda brio rs hatchback (2021);honda brio rs hatchback (2023);honda brio rs silver (2021);honda brio rs urbanite at (2023);honda brio satya e (2021);honda brio satya e (2022);honda brio satya e at (2020);honda brio satya e at (2021);honda brio satya e at (2022);honda brio satya e cvt (2021);honda brio satya e cvt abu (2022);honda brio satya e hatchback (2020);honda brio satya e hatchback (2021);honda brio satya e hatchback (2022);honda brio satya e mt (2021);honda brio satya e putih (2020);honda brio satya merah (2022);honda brv e prestige (2022);honda brv e prestige at hitam (2023);honda brv e prestige at putih (2021);honda brv e prestige sensing at hitam (2022);honda brv e prestige suv (2020);honda brv prestige cvt at (2022);honda brv prestige honda sensing suv (2022);honda city e sedan (2020);honda city hatchback rs at putih (2022);honda crv turbo nik 2022 (2022);honda crv turbo prestige at (2020);honda hr v e (2021);honda hrv e (2021);honda hrv prestige (2021);honda hrv prestige suv (2021);honda jazz rs (2020);honda jazz rs (2021);honda jazz rs at (2020);honda jazz rs at nik 2019 (2020);honda mobilio rs at hitam (2021);honda new brio type e 1200 cvt (2023);hyundai creta 1 5 trend at (2022);hyundai creta prime (2022);hyundai ioniq 5 prime standar range at (2022);hyundai santa fe at (2020);innova reborn g at bensin (2020);innova reborn g at diesel facelift (2021);innova venturerat diesel facelift (2021);innova zenix g at (2024);kia carrens at (2022);kia seltos gt at (2022);kia sonet premier at (2021);kijang innova g at silver metalik (2020);kijang innova v at hitam (2021);mazda 2 gt at (2022);mazda cx3 sport at (2024);mitsubishi xforce ultimate at putih (2023);mitsubishi xpander (2021);mitsubishi xpander cross (2021);mitsubishi xpander cross at (2023);mitsubishi xpander cross hitam (2021);mitsubishi xpander cross mpv (2020);mitsubishi xpander cross premium at hitam (2021);mitsubishi xpander cross premium at putih (2020);mitsubishi xpander cross premium at putih (2021);mitsubishi xpander cross premium at silver (2020);mitsubishi xpander cross premium mpv (2020);mitsubishi xpander gls at (2023);mitsubishi xpander ult at (2021);morris garage new zs 1.5 magnify cvt (2021);nissan kicks e power hybrid (2021);nissan serena highway starr (2021);peugeot 3008 (2020);renault kwid climber at (2021);renault triber rxz (2022);suzuki baleno hatchback at (2020);suzuki ertiga gl at (2020);suzuki ertiga gx at hitam (2020);suzuki ertiga gx hybrid (2023);suzuki ertiga gx hybrid at (2022);suzuki grand vitara gx hybrid (2023);suzuki grand vitara gx hybrid (2025);suzuki ignis (2023);suzuki ignis gx at orange (2022);suzuki new baleno 1400 at (2021);suzuki spresso matic (2023);suzuki xl7 (2020);suzuki xl7 alpha hybrid (2024);suzuki xl7 alpha hybrid (2025);tangan pertama pemakaian wanita hrv 15se tahun (2021);toyota agya (2022);toyota agya (2024);toyota agya gr sport (2022);toyota all new avanza g cvt at (2022);toyota all new avanza g cvt at (2023);toyota all new avanza veloz q (2022);toyota all new avanza veloz q cvt (2022);toyota all new veloz q cvt (2022);toyota all new yaris cross s gr hev (2023);toyota altis v 2021 record (2020);toyota avanza (2020);toyota avanza (2021);toyota avanza (2022);toyota avanza 1 5 g at (2023);toyota avanza 13 e at (2022);toyota avanza 13 g at (2020);toyota avanza 15 g (2022);toyota avanza at hitam (2023);toyota avanza e at (2023);toyota avanza e cvt (2023);toyota avanza e cvt at (2024);toyota avanza e mpv (2020);toyota avanza e mpv (2023);toyota avanza e mpv (2025);toyota avanza g (2021);toyota avanza g (2022);toyota avanza g (2024);toyota avanza g abu (2022);toyota avanza g abu (2023);toyota avanza g at (2021);toyota avanza g at (2022);toyota avanza g at (2023);toyota avanza g at (2024);toyota avanza g at hitam (2023);toyota avanza g bensin at (2022);toyota avanza g cvt abu (2023);toyota avanza g mpv (2020);toyota avanza g mpv (2021);toyota avanza g mpv (2022);toyota avanza g mpv (2023);toyota avanza g mpv (2024);toyota avanza g mpv at hitam (2023);toyota avanza g mpv hitam (2022);toyota avanza g mpv putih (2022);toyota avanza g mpv silver (2021);toyota avanza g mpv silver (2022);toyota avanza g tss at (2021);toyota avanza g tss bensin at (2021);toyota avanza mpv (2022);toyota avanza mpv premium (2020);toyota avanza q non tss (2023);toyota avanza tipe g at (2020);toyota avanza type veloz gr limited 1500 at (2021);toyota avanza veloz (2020);toyota avanza veloz (2021);toyota avanza veloz (2022);toyota avanza veloz (2023);toyota avanza veloz 15 mt (2021);toyota avanza veloz 15 putih (2021);toyota avanza veloz at (2021);toyota avanza veloz gr limited mpv (2021);toyota avanza veloz l q cvt at (2022);toyota avanza veloz mpv (2020);toyota avanza veloz mpv (2021);toyota avanza veloz putih (2021);toyota avanza veloz q (2022);toyota avanza veloz q (2023);toyota avanza veloz q at (2022);toyota avanza veloz q automatic (2023);toyota avanza veloz q bensin at (2022);toyota avanza veloz q cvt (2024);toyota avanza veloz q cvt at (2021);toyota avanza veloz q cvt at (2022);toyota avanza veloz q cvt at (2023);toyota avanza veloz q cvt at (2024);toyota avanza veloz q non tss (2023);toyota avanza veloz q non tss (2024);toyota avanza veloz q non tss at (2022);toyota avanza veloz q putih (2022);toyota avanza veloz q tss (2022);toyota avanza veloz q tss automatic (2022);toyota calya g (2020);toyota calya g at nik 2023 (2023);toyota calya g at silver (2022);toyota calya g mpv (2022);toyota corolla cross hybrid (2021);toyota fortuner vrz trd 4x4 (2020);toyota innova 24 g diesel at (2022);toyota innova g 20 at (2020);toyota innova g at bensin (2020);toyota innova g at diesel (2024);toyota innova g automatic silver (2021);toyota innova g bensin at (2021);toyota innova g matic hitam (2022);toyota innova v at (2022);toyota innova v zenix bensin at (2022);toyota innova venturer bensin at (2020);toyota innova venturer hitam (2020);toyota innova zenix g at (2023);toyota innova zenix g hv hybrid at (2024);toyota innova zenix v (2023);toyota innova zenix v bensin (2023);toyota kijang innova (2020);toyota kijang innova (2021);toyota kijang innova (2024);toyota kijang innova 20 g (2022);toyota kijang innova g (2021);toyota kijang innova g at (2020);toyota kijang innova g at (2022);toyota kijang innova g at silver (2020);toyota kijang innova g bensin at (2021);toyota kijang innova g bensin at (2022);toyota kijang innova g lux capt seat (2021);toyota kijang innova g mpv (2020);toyota kijang innova g mpv luxury cc mt 2021 (2021);toyota kijang innova g mt (2024);toyota kijang innova g solar mt (2024);toyota kijang innova g solar v at (2020);toyota kijang innova luxury mpv (2022);toyota kijang innova reborn g bensin at (2020);toyota kijang innova reborn g diesel (2023);toyota kijang innova reborn g diesel (2024);toyota kijang innova reborn g lux (2021);toyota kijang innova v at (2022);toyota kijang innova v bensin at (2022);toyota kijang innova v mpv (2021);toyota kijang innova v solar at (2021);toyota kijang innova venturer (2021);toyota kijang innova zenix (2023);toyota kijang innova zenix (2024);toyota kijang innova zenix g at (2024);toyota kijang innova zenix g cvt bensin at (2024);toyota kijang innova zenix g hv hybrid cvt at (2023);toyota kijang innova zenix g hybrid at (2023);toyota kijang innova zenix hitam (2023);toyota kijang innova zenix silver (2023);toyota kijang innova zenix v (2022);toyota kijang innova zenix v cvt (2022);toyota kijang innova zenix v cvt (2024);toyota kijang innova zenix v cvt bensin at (2022);toyota kijang innova zenix v cvt bensin at (2023);toyota kijang innova zenix v premium color mpv (2023);toyota new avanza veloz mpv 1500 at (2021);toyota new rush s suv gr sport 1500 mt (2022);toyota rush (2024);toyota rush g at black (2021);toyota rush g suv (2021);toyota rush gr sport at (2022);toyota rush gr sport at silver (2022);toyota veloz q at silver (2022);toyota veloz q putih (2021);toyota veloz q tss (2022);toyota veloz q tss at (2022);toyota veloz q tss at hitam (2022);toyota veloz q tss at putih (2021);toyota veloz q tss mpv (2021);toyota veloz q tss mpv (2022);toyota veloz q tss premium color mpv (2022);toyota veloz q tss premium color mpv (2025);toyota veloz type q tss cvt (2022);toyota voxy at (2020);toyota yaris (2021);toyota yaris cross gr hybrid (2023);toyota yaris g at putih (2020);toyota yaris gr sport at (2022);toyota yaris gr sport at hitam (2022);toyota yaris gr sport at putih (2022);toyota yaris s trd at hitam (2021);toyota yaris s trd at merah (2021);toyota yaris s trd cvt (2021);toyota zenix v at (2022);toyots agya g trd (2021);veloz q matic (2022);volkswagen tiguan 1.4 tsi at (2020);wuling air ev (2022);wuling air ev (2023);wuling air ev long range (2022);wuling air ev long range (2023);wuling bingo ev (2024);wuling bingo ev long range (2023);wuling bingo premium range (2025);wuling cortez t lux (2022);wuling rs almaz (2023);xpander cross gray matic (2023);xpander sport (2021);xpander ultimate cvt km rendah lok kediri (2023),daihatsu sigra r at (2024);toyota agya (2024);toyota calya g at  nik 2023 (2023);suzuki spresso matic (2023);wuling air ev (2023),0.8,0.0125,0.02461538461538462
mobil listrik tahun 2018+ dan usia di bawah 2 tahun,wuling air ev (2023);wuling air ev long range (2023);wuling bingo ev (2024);wuling bingo ev long range (2023);wuling bingo premium range (2025),suzuki xl7 alpha hybrid (2025);toyota avanza e mpv (2025);toyota veloz q tss premium color mpv (2025);suzuki grand vitara gx hybrid (2025);wuling bingo premium range (2025),0.2,0.2,0.20000000000000004
